course,institution,category
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Karen Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kenyatta University - Kitui Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kenyatta University - City Center Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kenyatta University - Mombasa Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Egerton University - Njoro Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Egerton University - Nakuru Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Technical University of Kenya - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Dedan Kimathi University of Technology - Nyeri Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Dedan Kimathi University of Technology - Nairobi Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The University of Nairobi - Lower Kabete Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The University of Nairobi - Upper Kabete Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Pan Africa Christian (PAC) University - Main Campus - Roysambu,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The Management University of Africa - The Management University of Africa,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Taita Taveta University College - TTUC,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Nairobi Institute of Technology - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Arusha Center,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kirinyaga University College - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Wote Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Kisii Center,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kibabii University College - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Cooperative University College of Kenya - Main campus in Karen,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Vision Institute of Professionals - Paramount Plaza Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Vision Institute of Professionals - Moi Avenue Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kibabii University College - Bungoma Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Vision Institute of Professionals - Aga Khan Walk Campus,diploma
Bachelor of Education (Arts),Kisii University - Kisii Town Campus,diploma
Bachelor of Education (Arts),The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
Bachelor of Education (Arts),The Catholic University of Eastern Africa - Kisumu Campus,diploma
Bachelor of Education (Arts),The Catholic University of Eastern Africa - Nairobi City Campus,diploma
Bachelor of Education (Arts),Gretsa University - Thika Campus,diploma
Bachelor of Education (Arts),Mount Kenya University - Main Campus,diploma
Bachelor of Education (Arts),Kabarak University - Main Campus,diploma
Bachelor of Education (Arts),The East African University - Karen Campus,diploma
Bachelor of Education (Arts),The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Bachelor of Education (Arts),University of Eastern Africa Baraton - Main Campus - Baraton,diploma
Bachelor of Education (Arts),University of Eastern Africa Baraton - Eldoret Extension Centre,diploma
Bachelor of Education (Arts),University of Eastern Africa Baraton - Nairobi Extension Centre,diploma
Bachelor of Education (Arts),Karatina University - Itiati Campus,diploma
Bachelor of Education (Arts),Karatina University - Nanyuki Campus,diploma
Bachelor of Education (Arts),Pwani University - Main Campus,diploma
Bachelor of Education (Arts),Chuka University - Main Campus,diploma
Bachelor of Education (Arts),Masinde Muliro University of Science and Technology - Main Campus,diploma
Bachelor of Education (Arts),Masinde Muliro University of Science and Technology - Sangalo Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Main Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Machakos Town Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Tala Town Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Wote Town Campus,diploma
Bachelor of Education (Arts),Masinde Muliro University of Science and Technology - Bungoma Campus,diploma
Bachelor of Education (Arts),Masinde Muliro University of Science and Technology - Ebunangwe Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Main Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Nyeri Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Kitui Campus,diploma
Bachelor of Education (Arts),Egerton University - Njoro Campus,diploma
Bachelor of Education (Arts),Kenyatta University - City Center Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Mombasa Campus,diploma
Bachelor of Education (Arts),Maasai Mara University - Main Campus,diploma
Bachelor of Education (Arts),University of Eldoret - Main Campus,diploma
Bachelor of Education (Arts),Moi University - Main Campus,diploma
Bachelor of Education (Arts),The University of Nairobi - Kenya Science Campus,diploma
Bachelor of Education (Arts),KCA University - Ruaraka Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Mtito Andei Town Campus,diploma
Bachelor of Education (Arts),South Eastern Kenya University - Nairobi Town Campus,diploma
Bachelor of Education (Arts),Moi University - Nairobi Campus,diploma
Bachelor of Education (Arts),Moi University - Coast Campus,diploma
Bachelor of Education (Arts),Moi University - Kitale Campus,diploma
Bachelor of Education (Arts),The University of Nairobi - Kikuyu Campus,diploma
Bachelor of Education (Arts),Chuka University - Embu Campus,diploma
Bachelor of Education (Arts),Chuka University - Igembe Campus,diploma
Bachelor of Education (Arts),Kisii University - Nyamira Campus,diploma
Bachelor of Education (Arts),Kisii University - Down Town Campus (Ouru Towers),diploma
Bachelor of Education (Arts),Kisii University - Keroka Campus,diploma
Bachelor of Education (Arts),University of Kabianga - Main Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Ruiru Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Kericho Campus,diploma
Bachelor of Education (Arts),Kenyatta University - Dadaab Campus,diploma
Bachelor of Education (Arts),University of Eldoret - Eldoret Town Campus,diploma
Bachelor of Education (Arts),Machakos University College - Main Campus,diploma
