course,institution,category
Certificate in Customer Service,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Customer Service,Beam International Training Centre - Kisii Campus,certificate
Certificate in Customer Service,Beam International Training Centre - Kitengela Campus,certificate
Certificate in Customer Service,Rifkins College,certificate
Certificate in Customs Clearing and Forwarding,Wright Flyers Aviation Institute - Town Campus,certificate
Certificate in Cyber Security,Mukurwe-ini Technical Training Institute,certificate
Certificate in Cyber Security,Kamukunji Technical and Vocational College,certificate
Certificate in Cyber Security,Karumo Technical Training Institute,certificate
Certificate in Dairy Farm Management,Belgut Technical Training Institute,certificate
Certificate in Dairy Farm Management,Bungoma North Technical And Vocational College,certificate
Certificate in Dairy Farm Management,Chepalungu Technical Training Institute,certificate
Certificate in Dairy Farm Management,Mukurwe-ini Technical Training Institute,certificate
Certificate in Dairy Farm Management,Kaiboi National Polytechnic,certificate
Certificate In Dairy Management,The University of Nairobi - Upper Kabete Campus,certificate
Certificate in Dairy Production,Laikipia University - Maralal Campus,certificate
Certificate in Dangerous Goods Regulations Course,Unity College of Professional Studies - Town Campus,certificate
Certificate in Database Administration (CDBA),Institute of Advanced Technology - Loita Campus,certificate
Certificate in database Management,Riccatti Business College of East Africa - Main Institution,certificate
Certificate in Design,Nairobi Institute of Technology - Main Campus,certificate
Certificate in Desktop Publishing,Star College of Management Studies - Nairobi,certificate
Certificate in Desktop Publishing,Institute of Advanced Technology - Loita Campus,certificate
Certificate in Deutsch (German) - A1 Level,Rifkins College,certificate
Certificate in Deutsch (German) - A2 Level,Rifkins College,certificate
Certificate in Diatetic Management,Vision Stars Training Institute - Nature House,certificate
Certificate in Digital Editing,Mombasa Aviation Training Institute - Mombasa,certificate
Certificate in Digital Editing,Wright Flyers Aviation Institute - Town Campus,certificate
Certificate in Diplomacy,Maseno University - Main Campus,certificate
Certificate in Disability Studies,Maseno University - Main Campus,certificate
Certificate in Disaster Management,Masinde Muliro University of Science and Technology - Main Campus,certificate
Certificate in Disaster Management,Masinde Muliro University of Science and Technology - Bungoma Campus,certificate
Certificate in Disaster Management,Technical University of Kenya - Main Campus,certificate
Certificate in Disaster Management,Nairobi Institute of Business Studies - Thika Road Campus,certificate
Certificate in Disaster Management,East Africa Vision Institute - Main Campus- Eldoret,certificate
Certificate in Disaster Management,Kenyatta University - Kitui Campus,certificate
Certificate in Disaster Management,Beam International Training Centre - Development house Campus,certificate
Certificate in Disaster Management,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Disaster Management,Beam International Training Centre - Kisii Campus,certificate
Certificate in Disaster Management,Beam International Training Centre - Kitengela Campus,certificate
Certificate in Disaster Management and Preparedness,United Africa College - Main Campus,certificate
Certificate in Discipleship/Church Ministry,Beam International Training Centre - Development house Campus,certificate
Certificate in Discipleship/Church Ministry,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Discipleship/Church Ministry,Beam International Training Centre - Kisii Campus,certificate
Certificate in Discipleship/Church Ministry,Beam International Training Centre - Kitengela Campus,certificate
Certificate in DNA and Serological Forensics,Technical University of Kenya - Main Campus,certificate
Certificate in Dress Making,Hemland College - Thika,certificate
Certificate in Drug Addiction Course,Kenya School of Professional Counsellors - Nairobi,certificate
Certificate in e-Commerce and e-Business Systems,Maseno University - Main Campus,certificate
Certificate in Early Childhood Development and Education,Mount Kenya University - Main Campus,certificate
Certificate in Early Childhood Development and Education,Zetech University - Main Campus Thika Road,certificate
Certificate in Early Childhood Development and Education,The University of Nairobi - Kenya Science Campus,certificate
Certificate in Early Childhood Development and Education,Machakos University College - Main Campus,certificate
Certificate in Early Childhood Development and Education,Scott Christian University - Main Campus - Machakos,certificate
Certificate in Early Childhood Development and Education,Riccatti Business College of East Africa - Main Institution,certificate
Certificate in Early Childhood Development and Education,Sacred Lake Institute of Technology - Meru,certificate
Certificate in Early Childhood Development and Education,Pioneer's Training Institute - Buru Buru Campus,certificate
Certificate in Early Childhood Development and Education,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Early Childhood Development and Education,Kenya Institute of Social Work and Community Development - NACICO Campus,certificate
Certificate in Early Childhood Development and Education,Matongo Lutheran Teachers Training College - Sondu,certificate
Certificate in Early Childhood Development and Education,Shanzu Teachers Training College - Mombasa,certificate
Certificate in Early Childhood Development and Education,Kenya Institute of Development Studies - Naivasha Campus - Oserian Estate,certificate
Certificate in Early Childhood Development and Education,Kenya Institute of Development Studies - Tumaini House - Main Campus,certificate
Certificate in Early Childhood Development Education - In Service,Kenya Institute of Development Studies - Tumaini House - Main Campus,certificate
Certificate in Early Childhood Development Education - In Service,Kenya Institute of Development Studies - Naivasha Campus - Oserian Estate,certificate
Certificate in Early Childhood Education,KCA University - Ruaraka Campus,certificate
Certificate in Early Childhood Education,Pwani University - Main Campus,certificate
Certificate in Early Childhood Education,Unity College of Professional Studies - Buruburu Campus,certificate
Certificate in Early Childhood Education,Embu University College - EUC,certificate
Certificate in Early Childhood Education,Sacred Training Institute - Nairobi Campus,certificate
Certificate in Early Childhood Education,Jodan College of Technology - Thika Main Campus,certificate
Certificate in Early Childhood Education,Gusii Institute of Technology - Kisii,certificate
Certificate in Early Childhood Education,Eldoret Aviation Training Institute - Eldoret,certificate
Certificate in Early Children Development and Education,East African Institute of Certified Studies - EAICS,certificate
Certificate in ECDE,Riara University - Main Campus,certificate
Certificate in ECDE,Migori Teachers College - Suna - Migori,certificate
Certificate in ECDE,Lukenya University - Lukenya,certificate
Certificate in ECDE,Lukenya University - Kibwezi,certificate
Certificate in Eco-tourism and Hospitality Management,Egerton University - Njoro Campus,certificate
Certificate in Eco-tourism and Hospitality Management,Chuka University - Igembe Campus,certificate
Certificate in Education,East Africa School of Theology - Main Campus - Buruburu,certificate
Certificate in Education,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Education,Beam International Training Centre - Kisii Campus,certificate
Certificate in Education,Beam International Training Centre - Development house Campus,certificate
Certificate in Education & School Management,Laikipia University - Nairobi Campus,certificate
Certificate in Education & School Management,Laikipia University - Naivasha Campus,certificate
Certificate in Education of learners who are  Deafblind,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Autism,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Cerebral Palsy (CP),Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Hearing Impairment,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Mental Disabilities,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Physical Disabilities,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Education of learners with Visual Impairments,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Educational Audiology,Kenya Institute of Special Education - Nairobi,certificate
Certificate in Electoral and Electronics Engineering,United Africa College - Main Campus,certificate
Certificate in Electrical & Electronics Engineering (Power Option),Emurua Dikirr Technical Training Institute,certificate
Certificate in Electrical and Electronic Engineering,Technical University of Mombasa - Main Campus,certificate
Certificate in Electrical and Electronic Engineering,Zetech University - Pioneer Campus,certificate
Certificate in Electrical and Electronic Engineering,Transafric Accountancy and Management College - Thika Campus,certificate
Certificate in Electrical and Electronic Engineering,Rift Valley Institute of Science and Technology - Main Campus,certificate
Certificate in Electrical and Electronic Engineering,Technical University of Kenya - Main Campus,certificate
Certificate in Electrical and Electronics,Wright Flyers Aviation Institute - Town Campus,certificate
Certificate in Electrical and Electronics,Thika Institute of Business Studies - Thika Town Campus,certificate
Certificate in Electrical and Electronics,Thika Institute of Business Studies - Highway Campus,certificate
Certificate in Electrical and Electronics,Bomet Central Technical and Vocational College,certificate
Certificate in Electrical and Electronics,Gatanga Technical and Vocational College,certificate
Certificate in Electrical and Electronics (Telecommunications),Gusii Institute of Technology - Kisii,certificate
Certificate in Electrical and Electronics Engineering,Thika College of Banking and Accountancy - Thika Campus,certificate
Certificate in Electrical and Electronics Engineering,Thika College of Banking and Accountancy - Nairobi Campus,certificate
Certificate in Electrical and Electronics Engineering,Gilgil Technical and Vocational College,certificate
Certificate in Electrical and Electronics Engineering (Power Option),Bondo Technical Training Institute,certificate
Certificate in Electrical and Electronics Engineering (Power Option),Borabu Technical Training Institute,certificate
Certificate in Electrical and Electronics Engineering (Power Option),Friends National Polytechnic Kaimosi,certificate
Certificate in Electrical and Electronics Engineering and Technology,Kirinyaga University College - Main Campus,certificate
Certificate in Electrical and Electronics Engineering and Technology,East African Institute of Certified Studies - EAICS,certificate
Certificate in Electrical and Electronics Engineering and Technology,Jodan College of Technology - Thika Main Campus,certificate
Certificate in Electrical and Electronics Engineering and Technology,Bungoma Technical Training - Namwacha Campus,certificate
Certificate in Electrical and Electronics Engineering and Technology,Kenya Institute of Software Engineering. - Thika,certificate
Certificate in Electrical and Electronics Engineering and Technology,Thika College of Banking and Accountancy - Thika Campus,certificate
Certificate in Electrical and Electronics Engineering and Technology,Thika College of Banking and Accountancy - Nairobi Campus,certificate
Certificate in Electrical and Electronics Engineering Grade Tests: All levels,Thika College of Banking and Accountancy - Thika Campus,certificate
Certificate in Electrical and Electronics Engineering Grade Tests: All levels,Thika College of Banking and Accountancy - Nairobi Campus,certificate
Certificate in Electrical and Electronics Technology (Power Option),Bondo Technical Training Institute,certificate
Certificate in Electrical and Electronics Technology (Power Option),Butere Technical And Vocational College,certificate
Certificate in Electrical and Electronics Technology (Power Option) Module I,Kenya Industrial Training Institute - Nakuru - Solai Road,certificate
Certificate in electrical and electronics technology module I (Telecommunication option),Kenya Industrial Training Institute - Nakuru - Solai Road,certificate
Certificate in electrical and electronics technology module II,Kenya Industrial Training Institute - Nakuru - Solai Road,certificate
Certificate in electrical and electronics technology(telecommunication option) module II,Kenya Industrial Training Institute - Nakuru - Solai Road,certificate
Certificate in Electrical DIT,Sagana Training Technical Institute - Sagana Training Technical Institute,certificate
Certificate in Electrical Engineering,Meru University of Science and Technology - Main Campus (Nchiru),certificate
Certificate in Electrical Engineering,International Centre of Technology - Thika,certificate
Certificate in Electrical Engineering,Nkabune Technical Training Institute - Meru,certificate
Certificate in Electrical Engineering,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Electrical Engineering,Skynet Business College - Nairobi Campus,certificate
Certificate in Electrical Engineering,Godoma Technical Training Institute,certificate
Certificate in Electrical Engineering,Kandara Technical and Vocational College,certificate
Certificate in Electrical Engineering (power option) module I,Eldama Ravine Technical And Vocational College,certificate
Certificate in Electrical installation,Technical University of Kenya - Main Campus,certificate
Certificate in Electrical installation,International Centre of Technology - Thika,certificate
Certificate in Electrical installation,Chepalungu Technical Training Institute,certificate
Certificate in Electrical installation,Chuka Technical and Vocational College,certificate
Certificate in Electrical installation,Emsos Technical and Vocational College,certificate
Certificate in Electrical installation,Gatundu South Technical and Vocational College,certificate
Certificate in Electrical installation,Ikutha Technical and Vocational College,certificate
Certificate in Electrical installation,Jeremiah Nyagah National Polytechnic,certificate
Certificate in Electrical installation,Kajiado East Technical and Vocational College,certificate
Certificate in Electrical installation,Karumo Technical Training Institute,certificate
Certificate in Electrical installation,Kendege Technical and Vocational College,certificate
Certificate in Electrical installation,Kenya Coast National Polytechnic,certificate
Certificate in Electrical installation Technician,Technical University of Kenya - Main Campus,certificate
Certificate in Electrical Installations,Bungoma Technical Training - Namwacha Campus,certificate
Certificate in Electrical media,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Electrical Operation,Cherangany Technical And Vocational College,certificate
Certificate in Electrical Operation,David M Wambuli Technical Vocational College,certificate
Certificate in Electrical Operation(Power Option),Bungoma North Technical And Vocational College,certificate
Certificate in Electrical Operations,Jeremiah Nyagah National Polytechnic,certificate
Certificate in Electrical Operations,Kaiboi National Polytechnic,certificate
Certificate in Electrical Operator,Chamasiri Technical and Vocational College,certificate
Certificate in Electrical Operator,Karen Technical Training Institute For The Deaf,certificate
Certificate in Electrical Operator (Power option),Belgut Technical Training Institute,certificate
Certificate in Electrical Operator (Power option),Mukurwe-ini Technical Training Institute,certificate
Certificate in Electrical Operator (Power option),Friends National Polytechnic Kaimosi,certificate
Certificate in Electrical Operator(Power Option),Katine Technical Training Institute,certificate
Certificate in Electrical Power Engineering,Mount Kenya University - Main Campus,certificate
Certificate in Electrical Power Engineering,Technical University of Mombasa - Main Campus,certificate
Certificate in Electrical Repair and installation,Chuka University - Main Campus,certificate
Certificate in Electrical Technology,Mombasa Aviation Training Institute - Mombasa,certificate
Certificate in Electrical Wireman (installation),Jodan College of Technology - Thika Main Campus,certificate
Certificate in Electrical Wireman (installation),Kenya Institute of Software Engineering. - Thika,certificate
Certificate in Electrician Craft,Technical University of Kenya - Main Campus,certificate
Certificate in Electronics,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Electronics,The Catholic University of Eastern Africa - Gaba Campus - Eldoret,certificate
Certificate in Electronics,The Catholic University of Eastern Africa - Kisumu Campus,certificate
Certificate in Electronics,The Catholic University of Eastern Africa - Main Campus - Lang'ata,certificate
Certificate in Electronics,The Catholic University of Eastern Africa - Nairobi City Campus,certificate
Certificate in Electronics Engineering,Mount Kenya University - Main Campus,certificate
Certificate in Electronics Engineering,Technical University of Mombasa - Main Campus,certificate
Certificate in Electronics Engineering,Hemland College - Thika,certificate
Certificate in Electronics Engineering,Ahmed Shahame Mwidani Technical Training Institute,certificate
Certificate in Electronics Technician,Technical University of Kenya - Main Campus,certificate
Certificate in Electronics Technology,Mombasa Aviation Training Institute - Mombasa,certificate
Certificate in Electronics Technology (Devices and Systems),Belgut Technical Training Institute,certificate
Certificate in Electronics/Electrical Engineering,Beam International Training Centre - Development house Campus,certificate
Certificate in Electronics/Electrical Engineering,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Electronics/Electrical Engineering,Beam International Training Centre - Kisii Campus,certificate
Certificate in Electronics/Electrical Engineering,Beam International Training Centre - Kitengela Campus,certificate
Certificate in English,Transafric Accountancy and Management College - Thika Campus,certificate
Certificate in English,East African Institute of Certified Studies - EAICS,certificate
Certificate in English,United Africa College - Main Campus,certificate
Certificate in English,Shanzu Teachers Training College - Mombasa,certificate
Certificate in English,Excel Global College - Parklands,certificate
Certificate in English,Regional Center of Management - CBD,certificate
Certificate in English,Vision Stars Training Institute - Nature House,certificate
Certificate in English and French,Graffins College - Westlands Campus,certificate
Certificate in Enterpreneurship Development,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Enterprise Development and Management,Maseno University - Main Campus,certificate
Certificate in Entrepreneurship,Maseno University - Main Campus,certificate
Certificate in Entrepreneurship,Jaramogi Oginga Odinga University of Science and Technology - Bondo Campus,certificate
Certificate in Entrepreneurship,KCA University - Western Campus,certificate
Certificate in Entrepreneurship,Kirinyaga University College - Kerugoya Town Campus,certificate
Certificate in Entrepreneurship,Bungoma Technical Training - Namwacha Campus,certificate
Certificate in Entrepreneurship and Entreprise Development,Gretsa University - Thika Campus,certificate
Certificate in Entrepreneurship and Small Business Management,Laikipia University - Maralal Campus,certificate
Certificate in Entrepreneurship and Small Business Management,Laikipia University - Nyahururu Campus,certificate
Certificate in Entrepreneurship and Small Business Management,Laikipia University - Naivasha Campus,certificate
Certificate in Entrepreneurship and Small Business Management,Laikipia University - Nairobi Campus,certificate
Certificate in Entrepreneurship Education,Maseno University - Main Campus,certificate
Certificate in Entrepreneurship Education,East Africa Vision Institute - Main Campus- Eldoret,certificate
Certificate in Entrepreneurship Education,Kitale Technical Training Institute - Kitale,certificate
Certificate in Entrepreneurship in SMEs Management,Muranga University College - Muranga Town Campus,certificate
Certificate in Entrepreneurship Management,Endebess Technical Training Institute,certificate
Certificate in Entreprenuership,Kisumu Polytechnic - Kisumu,certificate
Certificate in Entreprenuership,Kaiboi Technical Training Institute - Eldoret,certificate
Certificate in Entreprenuership,Thika College of Banking and Accountancy - Thika Campus,certificate
Certificate in Entreprenuership,Thika College of Banking and Accountancy - Nairobi Campus,certificate
Certificate in Entreprenuership Development,Beam International Training Centre - Development house Campus,certificate
Certificate in Entreprenuership Development,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Entreprenuership Development,Beam International Training Centre - Kisii Campus,certificate
Certificate in Entreprenuership Development,Beam International Training Centre - Kitengela Campus,certificate
Certificate in Enviromental science,Jodan College of Technology - Thika Main Campus,certificate
Certificate in Environment Impact Assessment and Environmental Auditing,Technical University of Mombasa - Main Campus,certificate
Certificate in Environmental Audit,South Eastern Kenya University - Wote Town Campus,certificate
Certificate in Environmental Audit,The Catholic University of Eastern Africa - Gaba Campus - Eldoret,certificate
Certificate in Environmental Audit,The Catholic University of Eastern Africa - Kisumu Campus,certificate
Certificate in Environmental Audit,The Catholic University of Eastern Africa - Main Campus - Lang'ata,certificate
Certificate in Environmental Audit,The Catholic University of Eastern Africa - Nairobi City Campus,certificate
Certificate in Environmental Health,Beam International Training Centre - Development house Campus,certificate
Certificate in Environmental Health,Beam International Training Centre - Jasho House Campus,certificate
Certificate in Environmental Health,Beam International Training Centre - Kisii Campus,certificate
Certificate in Environmental Health,Beam International Training Centre - Kitengela Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Eldoret Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Embu Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Kakamega Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Karbanet Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Kisumu Campus,certificate
Certificate in Environmental Health Sciences,Kenya Medical Training College - Nairobi Campus,certificate
Certificate in Environmental Health Sciences,The Catholic University of Eastern Africa - Gaba Campus - Eldoret,certificate
Certificate in Environmental Health Sciences,The Catholic University of Eastern Africa - Kisumu Campus,certificate
Certificate in Environmental Health Sciences,The Catholic University of Eastern Africa - Main Campus - Lang'ata,certificate
Certificate in Environmental Health Sciences,The Catholic University of Eastern Africa - Nairobi City Campus,certificate
Certificate in Environmental Impact Assessment (EIA),Maseno University - Main Campus,certificate
Certificate in Environmental Impact Assessment (EIA),Egerton University - Njoro Campus,certificate
Certificate in Environmental Impact Assessment (EIA),South Eastern Kenya University - Wote Town Campus,certificate
Certificate in Environmental Impact Assessment (EIA),Maseno University - Homabay Campus,certificate
Certificate in Environmental Impact Assessment (EIA),University of Eldoret - Eldoret Town Campus,certificate
Certificate in Environmental Impact Assessment (EIA),The Catholic University of Eastern Africa - Gaba Campus - Eldoret,certificate
Certificate in Environmental Impact Assessment (EIA),The Catholic University of Eastern Africa - Kisumu Campus,certificate
Certificate in Environmental Impact Assessment (EIA),The Catholic University of Eastern Africa - Main Campus - Lang'ata,certificate
Certificate in Environmental Impact Assessment (EIA),The Catholic University of Eastern Africa - Nairobi City Campus,certificate
Certificate in Environmental Impact Assessment & Audit,South Eastern Kenya University - Machakos Town Campus,certificate
Certificate in Environmental Impact Assessment & Audit,South Eastern Kenya University - Nairobi Town Campus,certificate
Certificate in Environmental Impact Assessment and Auditing,Chuka University - Main Campus,certificate
Certificate in Environmental Impact Assessment and Auditing,Masinde Muliro University of Science and Technology - Main Campus,certificate
Certificate in Environmental Impact Assessment and Auditing,Masinde Muliro University of Science and Technology - Nairobi Satellite Campus,certificate
Certificate in Environmental infrastructure and Engineering Maintenance,Masinde Muliro University of Science and Technology - Main Campus,certificate
Certificate in Environmental infrastructure and Engineering Maintenance,Masinde Muliro University of Science and Technology - Nairobi Satellite Campus,certificate
Certificate in Environmental Studies,Technical University of Kenya - Main Campus,certificate
Certificate in Ethics and Corruption Studies,Masinde Muliro University of Science and Technology - Main Campus,certificate
Certificate in Event Planning,Technical University of Kenya - Main Campus,certificate
Certificate in Event Planning and Decoration,Dedan Kimathi University of Technology - Nyeri Town Campus,certificate
Certificate in Events Management,International Hotel and Tourism Institute - Kileleshwa,certificate
Certificate in Export for Small Businesses,Maseno University - Main Campus,certificate
Certificate in Fabric Formation,Belgut Technical Training Institute,certificate
Certificate in Facility Management,Technical University of Kenya - Main Campus,certificate
Certificate in Family Studies,Daystar University - Mombasa Campus,certificate
Certificate in Fashion Accessories Making and Jewellery,Dedan Kimathi University of Technology - Nyeri Town Campus,certificate
Certificate in Fashion and Design,Unity College of Professional Studies - Buruburu Campus,certificate
Certificate in Fashion and Design,Hemland College - Thika,certificate
Certificate in Fashion and Design,Nakuru Training Institute - Nakuru,certificate
Certificate in Fashion and Design,Chamasiri Technical and Vocational College,certificate
Certificate in Fashion and Design,Gilgil Technical and Vocational College,certificate
Certificate in Fashion and Design,Githunguri Technical and Vocational College,certificate
Certificate in Fashion Design,Muranga University College - Muranga Town Campus,certificate
Certificate in Fashion Design,Ahmed Shahame Mwidani Technical Training Institute,certificate
Certificate in Fashion Design,Belgut Technical Training Institute,certificate
Certificate in Fashion Design,Chepalungu Technical Training Institute,certificate
Certificate in Fashion Design,Cherangany Technical And Vocational College,certificate
Certificate in Fashion Design,Heroes Technical and Vocational College,certificate
Certificate in Fashion Design,Jeremiah Nyagah National Polytechnic,certificate
Certificate in Fashion Design,Kajiado East Technical and Vocational College,certificate
Certificate in Fashion Design,Kandara Technical and Vocational College,certificate
Certificate in Fashion Design,Karen Technical Training Institute For The Deaf,certificate
Certificate in Fashion Design,Kasarani Technical and Vocational College,certificate
Certificate in Fashion Design,Kendege Technical and Vocational College,certificate
Certificate in Fashion Design,Kenya Coast National Polytechnic,certificate
Certificate in Fashion Design (Level 5),Bukura Agricultural College,certificate
Certificate in Fashion Design & Clothing Technology,Borabu Technical Training Institute,certificate
Certificate in Fashion Design & Garment Making,Butere Technical And Vocational College,certificate
Certificate in Fashion Design and Garment Making,Technical University of Kenya - Main Campus,certificate
Certificate in Fashion Design and Garment Making,Nkabune Technical Training Institute - Meru,certificate
Certificate in Fashion Design and Garment Making,Gusii Institute of Technology - Kisii,certificate
Certificate in Fashion Design and Garment Making Technology,Friends National Polytechnic Kaimosi,certificate
Certificate in Fashion Design and Interior Decoration,Dedan Kimathi University of Technology - Nyeri (Main campus),certificate
Certificate in Fashion Design and Modelling,Machakos University College - Main Campus,certificate
Certificate in Fashion Design Manager,Bushiangala Technical Training Institute,certificate
Certificate in Fashion Designer,Katine Technical Training Institute,certificate
Certificate in Film and Theatre Arts,Kenyatta University - Main Campus,certificate
Certificate in Film and Theatre Studies,Maseno University - Main Campus,certificate
Certificate in Film and Video Production,Thika Institute of Business Studies - Highway Campus,certificate
Certificate in Film and Video Production,Thika Institute of Business Studies - Thika Town Campus,certificate
Certificate in Film Production,Wright Flyers Aviation Institute - Town Campus,certificate
Certificate in Finance for Non-Finance Managers,Maseno University - Main Campus,certificate
Certificate in Financial (Accounting) Applications,East African Institute of Certified Studies - EAICS,certificate
Certificate in Financial Analysis,Maseno University - Main Campus,certificate
Certificate in Financial Analysis,Machakos Institute of Technology - Main Campus,certificate
Certificate in Financial Management,Coast Institute of Technology - Voi,certificate
Certificate in Financial Sales Services,JKUAT TVET,certificate
Certificate in Financial Services,Jodan College of Technology - Thika Main Campus,certificate
Certificate in Fire Engineering,Technical University of Kenya - Main Campus,certificate
Certificate in Fire Operations Science and Safety,Eldoret Aviation Training Institute - Eldoret,certificate
Certificate in Fish pond construction and management,Karatina University - Main Campus - Kagochi,certificate
Certificate in Fish pond construction and management,Karatina University - Nanyuki Campus,certificate
Certificate in Fish pond construction and management,Karatina University - Karatina Town Campus,certificate
Certificate in Fisheries Technology,Bondo Technical Training Institute,certificate
Certificate in Flight Crew and Cabin Attendance,Regional Institute of Business Management - Nairobi,certificate
Certificate In Floriculture,The University of Nairobi - Upper Kabete Campus,certificate
Certificate in Food & Beverage,Kiambu Institute of Science and Technology - Main Campus,certificate
Certificate in Food & Beverage,Intraglobal Training Institute - Nairobi Campus,certificate
Certificate in Food & Beverage,Bushiangala Technical Training Institute,certificate
Certificate in Food and  Beverage Sales and Service,"Kenya Utalii College - Main Campus, Off Thika Road",certificate
Certificate in Food and Beverage,Butere Technical And Vocational College,certificate
Certificate in Food and Beverage,Endebess Technical Training Institute,certificate
Certificate in Food and Beverage,Friends National Polytechnic Kaimosi,certificate
Certificate in Food and Beverage,Gilgil Technical and Vocational College,certificate
Certificate in Food and Beverage,Heroes Technical and Vocational College,certificate
Certificate in Food and Beverage Management,The East African University - Karen Campus,certificate
Certificate in Food and Beverage Management,Kirinyaga University College - Main Campus,certificate
Certificate in Food and Beverage Management,Unity College of Professional Studies - Buruburu Campus,certificate
Certificate in Food and Beverage Management,Alphax College - Eldoret Town Centre,certificate
Certificate in Food and Beverage Management,Rift Valley Technical Training Institute - Eldoret,certificate
Certificate in Food and Beverage Management,Mombasa Aviation Training Institute - Mombasa,certificate
Certificate in Food and Beverage Management,Lukenya University - Lukenya,certificate
Certificate in Food and Beverage Management,Lukenya University - Kibwezi,certificate
Certificate in Food and Beverage Production,Kenya Coast National Polytechnic,certificate
Certificate in Food and Beverage Production (Culinary Art),Belgut Technical Training Institute,certificate
Certificate in Food and Beverage Production (Culinary Arts),Emsos Technical and Vocational College,certificate
Certificate in Food and Beverage Production (Culinary Arts),Gatundu South Technical and Vocational College,certificate
Certificate in Food and Beverage Production (Culinary Arts),Kajiado East Technical and Vocational College,certificate
Certificate in Food and Beverage Production (Culinary Arts),Karen Technical Training Institute For The Deaf,certificate
Certificate in Food and Beverage Production (Culinary),Jeremiah Nyagah National Polytechnic,certificate
Certificate in Food and Beverage Production and Service,Technical University of Kenya - Main Campus,certificate
Certificate in Food and Beverage Production and Service,Skynet Business College - Nairobi Campus,certificate
Certificate in Food and Beverage Production and Service,Graffins College - Moi Avenue Campus,certificate
Certificate in Food and Beverage Production and Service,Graffins College - Westlands Campus,certificate
Certificate in Food and Beverage Production and Service,Emurua Dikirr Technical Training Institute,certificate
Certificate in Food and Beverage Production and Service,Godoma Technical Training Institute,certificate
Certificate in Food and Beverage Production and Service,Karumo Technical Training Institute,certificate
Certificate in Food and Beverage Production and Service Module I & II,Muranga University College - Muranga Town Campus,certificate
Certificate in Food and Beverage Production Services and Sales,Kirinyaga University College - Main Campus,certificate
"Certificate In Food And Beverage Production, Sales and Service",Ramogi Institute of Advanced Technology - Kisumu Main Camus,certificate
"Certificate in Food and Beverage Production, Service and Sales",Riccatti Business College of East Africa - Main Institution,certificate
"Certificate in Food and Beverage Production,Sales and Service Management",Gusii Institute of Technology - Kisii,certificate
Certificate in Food and Beverage Production(Culinary Arts),Kamukunji Technical and Vocational College,certificate
Certificate in Food and Beverage Sales and Service Management,Chepalungu Technical Training Institute,certificate
Certificate in Food and Beverage Sales and Service Management,Jeremiah Nyagah National Polytechnic,certificate
Certificate in Food and Beverage Sales and Service Manager,Kamukunji Technical and Vocational College,certificate
Certificate in Food and Beverage Sales and Services,Pioneer's Training Institute - Buru Buru Campus,certificate
Certificate in Food and Beverage Sales and Services,Skypath Aviation College - Skypath Aviation College,certificate
Certificate in Food and Beverage Service,Kenya Coast National Polytechnic,certificate
Certificate in Food and Beverage Service Operations,International Hotel and Tourism Institute - Kileleshwa,certificate
Certificate in Food and Beverage Service Supervision,International Hotel and Tourism Institute - Kileleshwa,certificate
Certificate in Food and Beverage Service Techniques,Gretsa University - Thika Campus,certificate
Certificate in Food and Beverage Service Techniques,International Hotel and Tourism Institute - Kileleshwa,certificate
Certificate in Food and Beverage Service Techniques,Amboseli Institute of Hospitality and Technology - Thika,certificate
Certificate in Food and Beverages,Bomet Central Technical and Vocational College,certificate
Certificate in food and beverages management,Kitale Technical Training Institute - Kitale,certificate
Certificate in Food and Nutrition,University of Eastern Africa Baraton - Main Campus - Baraton,certificate
Certificate in Food and Nutrition,University of Eastern Africa Baraton - Nairobi Extension Centre,certificate
Certificate in Food and Nutrition,University of Eastern Africa Baraton - Eldoret Extension Centre,certificate
Certificate in Food and Nutrition,Zetech University - Main Campus Thika Road,certificate
Certificate in Food Beverage Management,The East African University - Kitengela Campus,certificate
Certificate in Food Beverage Management,Thika College of Banking and Accountancy - Thika Campus,certificate
